vani_index,sp_index,server_type,file_id,canto,chapter,text,prefix,display_name,speaker,category_name,category,encrypt_id
70,,drive,14HdUZcoR2Evm9FHnPjFEW7zTpnTo4e3U,,,,,10-07-22_VIT_Teachings of Queen Kunti series-4 (SB 1.8.21).mp3,hgrsp,TQK Series,2. TQK Series,yukmaded
71,,drive,19K2S6i9J6w1Hj19yjyNKqnu-wjdl6aCt,,,,,12-01-11_AIT VOICE_TQK 22_Beauty in Krishna's presence_RSP.mp3,hgrsp,TQK Series,2. TQK Series,jbwcrvzf
72,,drive,1Dl4JodiZ4GJeYAgRqScjapWkA19erTHq,,,,,10-07-12_GGD_Teachings of Queen Kunti series-1 (SB 1.8.18).mp3,hgrsp,TQK Series,2. TQK Series,gmjcgomt
73,,drive,1dldCAuRH_vYGoDCoQqeU1hRL72sl7-KU,,,,,11-04-24_GGD_TQK-19_Crossing Beyond Illusion's Currents-1_RSP.MP3,hgrsp,TQK Series,2. TQK Series,fxvlbxfr
74,,drive,1dyKtjSVnwB4rTyh1SDkPBJRvqwcX_EBD,,,,,10-08-31_DY patil_Teachings of Queen Kunti series-9 (SB 1.8.26)_RSP.MP3,hgrsp,TQK Series,2. TQK Series,egvoppmb
75,,drive,1FKDF9CzJi_dev-NUDgcuQDT_-38PyatH,,,,,10-07-15_avodhya_Teachings of Queen Kunti series-3 (SB 1.8.20).MP3,hgrsp,TQK Series,2. TQK Series,eeebuvbt
76,,drive,1gi1xNn1zzcQ2fPUQ6gpnqTKkvYaehr8X,,,,,10-07-13_mayapur_Teachings of Queen Kunti series-2 (SB 1.8.19).mp3,hgrsp,TQK Series,2. TQK Series,ctfgglkx
77,,drive,1iuZXMvh4flvk1fMk-6bsLc7PPcbfdQh3,,,,,10-08-18_PICT_SB_1.8.26_Teaching of QueenKunti_HG RSP.WAV,hgrsp,TQK Series,2. TQK Series,bdyzphyp
78,,drive,1j8Y5KKps735sRJ2jmBvkqraExWAba-h7,,,,,10-09-01_Mithila_Teachings of Queen Kunti series-10 (SB 1.8.27)_RSP.MP3,hgrsp,TQK Series,2. TQK Series,yhqhbxmc
79,,drive,1JAS9gSjJOziGHXZh5BNu-Rk89IL3_A_b,,,,,10-12-10_Mayapur VOICE_TQK 20_RSP.MP3,hgrsp,TQK Series,2. TQK Series,ltilbesx
80,,drive,1JqhlJceZ-XTTUdfzVVZ1MQb0DJEvhUHd,,,,,10-09-10_GGD VOICE_TQK-12 Bewildering pastimes_RSP.MP3,hgrsp,TQK Series,2. TQK Series,mgbkeqga
81,,drive,1jTF8q4NuHVuEztYMmGWDWn7Du67vrX-2,,,,,11-12-16_TOQK_Lightening the burden of the world_RSP.MP3,hgrsp,TQK Series,2. TQK Series,uhtfipbg
82,,drive,1KUS8q5Hx9lkU_8rNGv--7XARC1gv5weE,,,,,10-09-17_Mayapur VOICE_TQK 15 Beyond Birth and Death_RSP.mp3,hgrsp,TQK Series,2. TQK Series,itcajjxl
83,,drive,1lm6ewfUZ2qykBCKSYo4NtDdKFWgbmldy,,,,,10-09-14_Tilak VOICE_TQK 13 The vital force of the universe_RSP  (1).mp3,hgrsp,TQK Series,2. TQK Series,lodjtszf
84,,drive,1PJ6a7JxdNqcleH9AZJwRFACzVLtfkEZf,,,,,10-08-17_BJ_Teachings of Queen Kunti series-8 (SB 1.8.25).mp3,hgrsp,TQK Series,2. TQK Series,vbeamicb
85,,drive,1Pufv5lQ4opsFjti4xHVncYbY5Fyrdm0l,,,,,11-01-10_Vrajadham VOICE_TQK 20_RSP.MP3,hgrsp,TQK Series,2. TQK Series,wfsbjnpm
86,,drive,1qaA2w-gerIKbf0teYR74swyAN5PvODOi,,,,,10-09-12_SRM VOICE_ SB 1.8.14 TQK_Natural properity_RSP.MP3,hgrsp,TQK Series,2. TQK Series,mjayijlz
87,,drive,1sZ7Pdy3sU15kjO7rxNJnkPdSk3pYX2tO,,,,,10-08-16_VIT_Teachings of Queen Kunti series-7 (SB 1.8.24).mp3,hgrsp,TQK Series,2. TQK Series,awtooyzm
88,,drive,1tbsSzp8W-VW9kmL5ziIPJQE3fw81X3-x,,,,,10-09-16_Ayodhya VOICE_TQK 14 Lord Krishna's Wonserful Activities_RSP.mp3,hgrsp,TQK Series,2. TQK Series,leajyxeh
89,,drive,1udz7kx6CPXzJ2Npm_YdysounfZI_mMlo,,,,,12-01-09_COEP_TQK 21_What is our value_RSP.mp3,hgrsp,TQK Series,2. TQK Series,pkkvlffl
90,,drive,1zWPgiXGleOPcJkPS48gijcWzd0Z71YU6,,,,,10-11-11_GGD VOICE_TQK 18 Liberation from ignorance and suffering_RSP.MP3,hgrsp,TQK Series,2. TQK Series,yqsefsrq
91,,drive,1-DLsDUU8O8xUmGCfxtIn4CnPxLulQJo8,,,,,03 Cultivating The Proper Substance Of A Vaisnava Attitude (Lec For Pune BACE Devotees) 12-12-05.mp3,hhrnsm,MP lectures,1. MP lectures,koletzfe
92,,drive,12u8EKWhe1Faldpnbr9zsuNtexBTE9NBc,,,,,05-087-Human Freedom To Feed the Good Dog or Bad Dog (Mumbai)-SF-dt_25_09_05.mp3,hhrnsm,MP lectures,1. MP lectures,rtfxzlul
93,,drive,15n_EFhe7-PcTpkp-f7BQPYOmqhRsVSQs,,,,,2011-12-10_SB-10-04-21_-_Philosophy_without_Character_has_no_Meaning_-_Radhanath_Swami_ISKCON_Chowpatty.mp3,hhrnsm,MP lectures,1. MP lectures,wdydwshq
94,,drive,15sNyTnn03TcvmPF2sUUwf-3rHwrJNmrj,,,,,05_Monkey_Psychology_in_Concrete_Jungle_SB-05_14_32_Mumbai_-_16-10-05_IDesireTree.mp3,hhrnsm,MP lectures,1. MP lectures,mekvpntm
95,,drive,16sSfyPt-doDQ_EBWYosCEN5GEzPui3QX,,,,,89-040-Stop Trusting Your Mind (Mumbai)-OT-dt_89_09_01.mp3,hhrnsm,MP lectures,1. MP lectures,dgzteplk
96,,drive,16ZGbxgt0qRtcNZZ6fvflOK2wooRIZVUk,,,,,17. 28.01.94  SB.10.51.48 - 49 Maya knows your ins and outs.mp3,hhrnsm,MP lectures,1. MP lectures,olescmjv
97,,drive,17Ndw0Z5Gsi8SyK2ujtubzgnY2KUVJVjn,,,,,02-104-Conquering the Greatest Enemy (Mumbai)-OT-dt_02_10_19.mp3,hhrnsm,MP lectures,1. MP lectures,dagygujc
98,,drive,1a0T8b0_q9NvhQNfqRz3CtsPt4JEoG0dv,,,,,"13. Four Essential Qualities of a Vaisnava - III, 23.2.02 Pu.mp3",hhrnsm,MP lectures,1. MP lectures,kasbpebv
99,,drive,1ACshMjtI336iE3_xa0g9X5GgHv45nw8p,,,,,"90-086  Determination (BG-2_41, Mumbai) 05-10-90.mp3",hhrnsm,MP lectures,1. MP lectures,ahfvdhoa
100,,drive,1aklHzq6lcdZSVkJX_VES4RLkkAxO9yqP,,,,,(C) 29.01.94  SB.10.51.49 Futility of Material Life - Mumbai.mp3,hhrnsm,MP lectures,1. MP lectures,ihdvbbjt
101,,drive,1b1jAQDjy_d3wdvBTVMdOuti1wWrzvm0b,,,,,93-10-31_SB_2_2_5_We are Spoilt Brats_HHRNS_Bom.mp3,hhrnsm,MP lectures,1. MP lectures,jhgwprnb
102,,drive,1BuYiEgL10ZkCHgViSg45qMuLm2PFlFY6,,,,,92-018-Reading The Bhagvatam (Mumbai)-SB_10_4_20-dt_92_01_30.mp3,hhrnsm,MP lectures,1. MP lectures,qeoqtqmd
103,,drive,1bUyo1DNJfnS9nkABETF1FlHELLltlxwQ,,,,,14. Chanting is Our First Responsibility 9.9.02 London.mp3,hhrnsm,MP lectures,1. MP lectures,dyxzximc
104,,drive,1BYKPrUdptrVnX923NjXV-T35zdHkxnZH,,,,,09-027-Baffled In Casino of Maya-SB_7_13_30-dt_09_03_22.mp3,hhrnsm,MP lectures,1. MP lectures,ybsqyons
105,,drive,1crrln87CJURqptBnKfujadTd3Hc_DCgF,,,,,SB - 31-10-2009 - 4.21.2-4.MP3,hhrnsm,MP lectures,1. MP lectures,tlnruirs
106,,drive,1cTLueR_bybpL7q9TYK2PhoLk9BZMyTV6,,,,,08-054-Compassion For Others Pleases Krishna-SB_7_9_41-dt_08_11_15.mp3,hhrnsm,MP lectures,1. MP lectures,vyjabeky
107,,drive,1CVCUwV1rmVSDleQGCONiZoRsaekmqdzH,,,,,00 - Determination Like Bird Chatak.mp3,hhrnsm,MP lectures,1. MP lectures,yevdixph
108,,drive,1dnLfN5w7yAf7k5kKKCwbF6J8zpVTHSQL,,,,,"11. Four Essential Qualities of a Vaisnava - I, 23.2.02 Pune.mp3",hhrnsm,MP lectures,1. MP lectures,iqifewlf
109,,drive,1eHGOVAfgrj_m1qY8y_ug13E0DWK4UKUE,,,,,05-089-Don't Run After the Twilight of Material Existence (Mumbai)-SB_3_20_38-dt_30_09_05.mp3,hhrnsm,MP lectures,1. MP lectures,hesshimm
110,,drive,1F1-gsWb9r9XOrStFZgw06VnIjp3K2NuN,,,,,03-052-Tolerating the Provoking Situation (Mumbai)-SF-dt_03_08_17.mp3,hhrnsm,MP lectures,1. MP lectures,zijpnttt
111,,drive,1FpxJgups6aLNSxP0espaiPh79baKc8Cu,,,,,(J) SB.3.13.1 26.09.98  Don't Do Things Mechanically - Mumba.mp3,hhrnsm,MP lectures,1. MP lectures,qsimoran
112,,drive,1fpXKClan9puAAZzZUGrWfQZcheo2Ju1g,,,,,1996-136_Association_Of_Devotees-_Only_Hope_SB-07_05_32_Mumbai_-_22-09-96_IDesireTree.mp3,hhrnsm,MP lectures,1. MP lectures,engkcgpd
113,,drive,1FXK5xqH5XtMq-Lj-dzqeZfBDbvBjqDC6,,,,,97-020-Never Offend Devotees (Mumbai)-SB_4_30_8-dt_97_01_23.mp3,hhrnsm,MP lectures,1. MP lectures,fqivvtnh
114,,drive,1g0gIiRR5lZL4FhE2QbLf5jFT2TD0qUmV,,,,,99-028-Devotee Must be Grateful (Mumbai)-SB_3_19_36-dt_99_06_18.mp3,hhrnsm,MP lectures,1. MP lectures,jicnuyto
115,,drive,1GXZEXi0IX8i_wgQvb5Yuh9LN8o4VvKWN,,,,,07-072-Humble Service Attitude Transforms Knowledge To Realisation-SB_7_2_42-dt_07_12_30.mp3,hhrnsm,MP lectures,1. MP lectures,tmmbdxvt
116,,drive,1iehSsPVpLZJV0KAlZg8dsvwZ1lmSNjc2,,,,,05-048-Co operation Among Devotees (Gita Nagari)-SB_4_22_32+FN-dt_05_04_13.mp3,hhrnsm,MP lectures,1. MP lectures,ghcklmou
117,,drive,1ihM1574-VqELsagEXVDDU-3Xd_WNcqWg,,,,,06-033-Prayers of A Pure Devotee Srila Prabhupada-SF-dt_06_08_20.mp3,hhrnsm,MP lectures,1. MP lectures,qtmdxwbx
118,,drive,1jZxvDm9CDnEoRiV_WbI6eM834cT3zWqj,,,,,"14. Four Essential Qualities of a Vaisnava - IV, 23.2.02 Pun.mp3",hhrnsm,MP lectures,1. MP lectures,hivfnzbc
119,,drive,1KBMmn1Av2aJykv2hwGmmOA6SO0dcIRRF,,,,,93-052-Need To Change Consciousness (Mumbai)-BG_7_5-dt_93_04_14.mp3,hhrnsm,MP lectures,1. MP lectures,xbixdsyy
120,,drive,1LJAhEUU-ipsCoOZJ_yFZzxvCmXZtrPEt,,,,,07-024-What it Takes to Go Back To Godhead (Mumbai)-SB_6_11_19-dt_07_03_25.mp3,hhrnsm,MP lectures,1. MP lectures,mppulaas
